city,km5,km10,km15,km20,hm,km25,km30,km35,km40,time,cat,place,cat_place
Poortugaal,1763,3530,5297,7075,7480,8879,10801,12881,15268,16304,M50,6576,755
Spark,1704,3453,5203,7025,7455,8939,10849,12982,15276,16352,M60,6351,142
Rotterdam Running Ambassa,1444,2909,4375,5874,6205,7379,8912,10412,11928,12554,M45,1637,301
Pallas '93,1188,2378,3568,4770,5041,5986,7204,8404,9663,10217,M50,265,7
Tilburg,1616,3284,4953,6704,7103,8521,10593,12976,15302,16238,M55,6266,344
PAC,1670,3330,4991,6685,7104,8447,10192,12021,13921,14727,M70,4729,6
Horst,1553,3122,4692,6263,6612,7838,9417,11039,12708,13407,M45,3085,557
PAC,1199,2421,3644,4913,5203,6221,7540,8926,10390,11001,M35,564,100
Parthenon,1546,3018,4490,5987,6326,7518,9070,10692,12440,13243,M60,2480,45
Raamsdonksveer,1698,3406,5114,6841,7230,8616,10595,12457,14534,15407,M50,5794,677
PAC,1485,2977,4469,5999,6399,7665,9452,11249,13175,13880,M45,3410,615
Antilope,1581,3212,4844,6496,6863,8161,9858,11556,13326,14095,M55,3734,172
's-Gravenzande,1493,2952,4411,5889,6222,7411,8937,10654,12629,13575,M40,2999,590
Barendrecht,1550,3112,4675,6289,6646,7913,9541,11214,12938,13677,M50,3251,369
Krimpen aan de Lek,1527,3015,4504,5995,6320,7474,8953,10475,12191,12964,M50,2199,233
's-Gravenhage,1755,3539,5323,7127,7534,8950,10799,12698,14787,15659,M50,5945,694
De Koplopers,1187,2389,3591,4800,5072,6019,7255,8510,9833,10407,M55,311,1
Rotterdam Running Ambassa,1761,3567,5373,7249,7690,9203,11201,13307,15536,16475,M60,6422,148
Maasrunners,1147,2296,3446,4631,4895,5818,7015,8221,9429,9948,M60,201,1
Rotterdam Running Ambassa,1443,2908,4374,5873,6205,7378,8913,10743,12889,13715,M55,3148,142
Rotterdam Running Ambassa,1615,3311,5008,6811,7216,8664,10594,12726,14908,15806,M60,5845,127
Cofely West Industrie - 1,1586,3104,4622,6126,6464,7655,9231,10810,12463,13160,M45,2505,458
Rotterdam Atletiek,1191,2402,3613,4871,5170,6247,7682,9246,10806,11466,M50,768,57
Haag Atletiek,1229,2487,3746,5001,5286,6272,7569,8866,10241,10801,M45,492,73
Spark,1413,2894,4376,5898,6270,7565,9325,11313,13297,14186,M50,3828,437
PAC,1459,2922,4386,5960,6283,7453,9094,10783,12615,13437,M55,2716,117
Energie,1647,3306,4965,6647,7036,8401,10259,12232,14553,15598,M55,5661,298
Leiderdorp,1536,3114,4693,6262,6609,7842,9753,11832,13920,14991,M50,5214,604
Pallas '93,1144,2305,3466,4630,4889,5811,6998,8190,9519,10104,M45,237,13
Poortugaal,1270,2554,3838,5135,5422,6428,7730,9028,10356,10934,M45,537,84
Saint Denis En Val,1547,3094,4642,6194,6538,7740,9295,10881,12523,13225,MSR,2685,589
Hellas,1479,2928,4378,5834,6151,7271,8700,10127,11718,12396,M40,1696,345
Enschede,1799,3588,5377,7212,7627,9116,11071,13091,15394,16314,M40,6592,1165
Krimpen aan den IJssel,1570,3138,4706,6261,6601,7810,9395,10997,12654,13370,M40,2982,586
Schiedam,1299,2551,3803,5056,5343,6337,7605,8915,10512,11167,M40,671,130
Sigtuna,1133,2254,3375,4505,4762,5651,6810,8156,9681,10328,MSR,295,126
Hellas,1609,3189,4769,6333,6679,7896,9467,11126,12893,13673,M40,3378,668
Delft,1864,3734,5604,7483,7909,9388,11470,13845,16114,17080,M40,6862,1193
Bovenkarspel,1531,3002,4474,5931,6262,7526,9004,10534,12109,12770,MSR,2023,473
Rotterdam,1525,3137,4749,6334,6682,7956,9647,11527,13611,14492,MSR,4366,882
Solihull,1231,2423,3615,4817,5088,6034,7251,8451,9661,10174,M40,256,38
Houten,1772,3510,5249,7030,7432,8874,10798,13093,15669,16503,M40,6680,1179
Tallinn,1488,2957,4426,5914,6263,7496,9201,11105,12984,13772,M35,3352,481
Cardigan,1868,3763,5658,7612,8073,9616,11724,13871,16017,16828,M45,6900,1141
Loopgroep PK,1635,3251,4867,6494,6845,8108,9754,11380,13037,13754,MSR,3368,708
Hampshire,1521,2952,4384,5822,6145,7345,8964,10820,12767,13685,MSR,3428,715
Capelle aan den IJssel,1323,2701,4080,5460,5762,6833,8212,9590,11149,11797,M55,1053,24
PAC,1659,3333,5007,6717,7108,8445,10327,12560,14953,16049,M40,6079,1101
Olympia Halsteren,1749,3524,5299,7093,7504,8915,10786,12753,14813,15596,MSR,5753,1098
Dutch Runners Gold,1487,2975,4464,5957,6288,7458,8918,10403,11947,12608,M40,1782,362
Bury St. Edmunds,1668,3320,4973,6619,6986,8302,9975,11698,13465,14215,M35,4181,578
Poortugaal,1809,3595,5381,7176,7574,8973,10766,12603,14527,15347,M40,5772,1061
Vlaardingen,1829,3654,5479,7379,7791,9253,11226,13270,15392,16277,M35,6556,780
Rotterdam,1779,3488,5197,6908,7278,8602,10314,12098,14080,14920,M40,5235,989
Rotterdam,1743,3359,4976,6578,6934,8146,9740,11452,13381,14263,MSR,4555,915
Nieuwegein,1649,3298,4947,6608,6994,8298,10042,11749,13455,14158,MSR,4076,831
Goor '75,1218,2472,3727,5010,5302,6310,7607,8901,10194,10742,M40,472,91
AAV '36,1512,3013,4515,6011,6343,7498,9022,10581,12222,12922,M40,2312,467
Krimpen aan den IJssel,1864,3733,5603,7483,7909,9387,11469,13843,16113,17079,M40,6861,1192
